CohortMonth,TotalRevenue,CohortSize,LTV
2009-12,8722766.357,955,9133.786761256546
2010-01,1329808.512,383,3472.0848877284598
2010-02,1002786.405,374,2681.2470721925133
2010-03,1265668.421,443,2857.0393250564334
2010-04,560644.061,294,1906.952588435374
2010-05,392333.78,254,1544.6211811023622
2010-06,609807.79,270,2258.5473703703706
2010-07,317293.91,186,1705.8812365591396
2010-08,270800.42,162,1671.6075308641975
2010-09,584277.301,243,2404.4333374485595
2010-10,538216.29,377,1427.6294164456235
2010-11,364616.08,325,1121.8956307692308
2010-12,75981.71,76,999.7593421052633
2011-01,140506.66,71,1978.9670422535212
2011-02,137028.36000000002,124,1105.0674193548389
2011-03,221364.64,179,1236.673966480447
2011-04,108073.7,106,1019.5632075471698
2011-05,286664.9,111,2582.566666666667
2011-06,140559.29,108,1301.4749074074075
2011-07,94974.72099999999,102,931.1247156862744
2011-08,149187.11,106,1407.4255660377357
2011-09,158546.59,189,838.8708465608465
2011-10,153548.92,221,694.7914932126697
2011-11,94129.16,191,492.82282722513094
2011-12,23844.09,28,851.5746428571429
